"x"
-29,2226905371166
213,582166211104
-34,8814306205024
289,36404010689
28,975388590768
174,576580794099
43,2714526214243
259,316235256461
54,8890675826746
214,730580642182
109,689058422542
257,892161820572
11,8379709729098
136,865005641125
108,746545907155
255,353319549238
62,0904868450527
315,591810534265
115,161059754904
309,695066060875
132,048868580411
331,506815036553
102,62824916826
206,132415206831
143,491287394736
316,79356302355
119,110224664734
260,862380805036
118,192497244569
370,897078009985
226,033977576452
361,26061363285
194,283580577968
380,909747970855
123,64702215857
380,850271835016
191,185502314483
417,434330164441
285,101268599194
478,158787422877
241,873820187321
447,731915993175
305,748168770237
509,433159933683
258,062215272524
468,225242151894
333,129098106841
564,826646225771
332,482689392489
594,055386322711
382,005294018353
543,798680337462
403,955984571221
543,13184519596
484,151185085052
724,619994925293
420,538926176675
600,193268684174
494,585981372121
673,247269805959
614,180888025239
706,437999863342
557,386968122539
739,000107939033
515,33633955588
777,039614975717
492,652068555448
871,677743078144
621,762666910595
938,630583518108
669,875476444983
826,902678453909
709,436317674453
848,895118417787
649,818329988045
944,172311775873
724,735406339078
964,455267581581
785,817066207583
970,523952690596
789,666563359075
1029,64106924381
913,80434982866
997,421659978512
922,197309381421
1128,24751856068
984,054991863818
1135,19080381829
988,600940495814
1203,35493953861
982,973998450418
1290,79339029916
1108,92013078475
1306,61068247575
1171,84167272704
1341,52432127827
1071,0703895771
1327,73672928816
1116,86936925508
1376,32996817803
